parent_sku,parent_desc,component_sku,component_desc,component_type,qty_per_unit,unit_cost_usd,supplier,warranty_months,mtbf_hours
ACERCHROMEBOOK3-CEL-4.0-16.0,Acer Chromebook C731 (CEL-4.0-16.0),SSD-ACERCHROMEBOOK3-G1,SSD/eMMC Storage,Storage,1,38.3,LG Display,12,81992
ACERCHROMEBOOK3-CEL-4.0-16.0,Acer Chromebook C731 (CEL-4.0-16.0),HNG-ACERCHROMEBOOK3-G1,Display Hinge Assembly,Chassis/Hinge,2,7.05,LG Display,12,31130
ACERCHROMEBOOK3-CEL-4.0-16.0,Acer Chromebook C731 (CEL-4.0-16.0),KB-ACERCHROMEBOOK3-G1,Backlit Keyboard - US Layout,Keyboard,1,19.08,Quanta,12,59266
ACERCHROMEBOOK4-CEL-4.0-UNK,Acer Chromebook C738T-C44Z (CEL-4.0-UNK),MB-ACERCHROMEBOOK4-G1,Motherboard Rev1,Motherboard,1,165.74,Darfon,12,20364
ACERCHROMEBOOK4-CEL-4.0-UNK,Acer Chromebook C738T-C44Z (CEL-4.0-UNK),DISP-ACERCHROMEBOOK4-G1,14in FHD IPS Display Panel,Display,1,69.25,LG Display,12,45187
ACERCHROMEBOOK4-CEL-4.0-UNK,Acer Chromebook C738T-C44Z (CEL-4.0-UNK),BATT-ACERCHROMEBOOK4-G1,3-Cell Battery,Battery,1,29.71,Chicony,12,24092
ACERCHROMEBOOK4-CEL-4.0-UNK,Acer Chromebook C738T-C44Z (CEL-4.0-UNK),SSD-ACERCHROMEBOOK4-G1,SSD/eMMC Storage,Storage,1,48.03,Samsung,12,81774
ACERCHROMEBOOK4-CEL-4.0-UNK,Acer Chromebook C738T-C44Z (CEL-4.0-UNK),HNG-ACERCHROMEBOOK4-G1,Display Hinge Assembly,Chassis/Hinge,2,6.47,Foxconn,12,30928
ACERCHROMEBOOK4-CEL-4.0-UNK,Acer Chromebook C738T-C44Z (CEL-4.0-UNK),KB-ACERCHROMEBOOK4-G1,Backlit Keyboard - US Layout,Keyboard,1,19.28,Darfon,12,58333
CHUWICOREBOOKX-I5-8.0-512.0,CHUWI CoreBook X (I5-8.0-512.0),MB-CHUWICOREBOOKX-G1,Motherboard Rev1,Motherboard,1,152.22,Samsung,12,20745
CHUWICOREBOOKX-I5-8.0-512.0,CHUWI CoreBook X (I5-8.0-512.0),DISP-CHUWICOREBOOKX-G1,14in FHD IPS Display Panel,Display,1,69.74,Quanta,12,47654
CHUWICOREBOOKX-I5-8.0-512.0,CHUWI CoreBook X (I5-8.0-512.0),BATT-CHUWICOREBOOKX-G1,3-Cell Battery,Battery,1,27.11,Quanta,12,23850
CHUWICOREBOOKX-I5-8.0-512.0,CHUWI CoreBook X (I5-8.0-512.0),SSD-CHUWICOREBOOKX-G1,SSD/eMMC Storage,Storage,1,39.68,Samsung,12,80334
CHUWICOREBOOKX-I5-8.0-512.0,CHUWI CoreBook X (I5-8.0-512.0),HNG-CHUWICOREBOOKX-G1,Display Hinge Assembly,Chassis/Hinge,2,6.72,Foxconn,12,31895
CHUWICOREBOOKX-I5-8.0-512.0,CHUWI CoreBook X (I5-8.0-512.0),KB-CHUWICOREBOOKX-G1,Backlit Keyboard - US Layout,Keyboard,1,19.28,Samsung SDI,12,58449
CHUWIFREEBOOK-CEL-12.0-12.0,CHUWI FreeBook (CEL-12.0-12.0),MB-CHUWIFREEBOOK-G1,Motherboard Rev1,Motherboard,1,160.47,Chicony,12,21178
CHUWIFREEBOOK-CEL-12.0-12.0,CHUWI FreeBook (CEL-12.0-12.0),DISP-CHUWIFREEBOOK-G1,14in FHD IPS Display Panel,Display,1,68.36,Wistron,12,46292
CHUWIFREEBOOK-CEL-12.0-12.0,CHUWI FreeBook (CEL-12.0-12.0),BATT-CHUWIFREEBOOK-G1,3-Cell Battery,Battery,1,28.57,LG Display,12,23932
CHUWIFREEBOOK-CEL-12.0-12.0,CHUWI FreeBook (CEL-12.0-12.0),SSD-CHUWIFREEBOOK-G1,SSD/eMMC Storage,Storage,1,46.69,SK Hynix,12,81794
CHUWIFREEBOOK-CEL-12.0-12.0,CHUWI FreeBook (CEL-12.0-12.0),HNG-CHUWIFREEBOOK-G1,Display Hinge Assembly,Chassis/Hinge,2,6.9,Samsung,12,31342
CHUWIFREEBOOK-CEL-12.0-12.0,CHUWI FreeBook (CEL-12.0-12.0),KB-CHUWIFREEBOOK-G1,Backlit Keyboard - US Layout,Keyboard,1,19.2,Quanta,12,58939
CHUWIGEMIBOOKP-QC-16.0-512.0,CHUWI GemiBook Plus (QC-16.0-512.0),MB-CHUWIGEMIBOOKP-G1,Motherboard Rev1,Motherboard,1,146.25,LG Chem,12,19010
CHUWIGEMIBOOKP-QC-16.0-512.0,CHUWI GemiBook Plus (QC-16.0-512.0),DISP-CHUWIGEMIBOOKP-G1,14in FHD IPS Display Panel,Display,1,72.84,Samsung SDI,12,46076
CHUWIGEMIBOOKP-QC-16.0-512.0,CHUWI GemiBook Plus (QC-16.0-512.0),BATT-CHUWIGEMIBOOKP-G1,3-Cell Battery,Battery,1,30.09,Compal,12,24695
CHUWIGEMIBOOKP-QC-16.0-512.0,CHUWI GemiBook Plus (QC-16.0-512.0),SSD-CHUWIGEMIBOOKP-G1,SSD/eMMC Storage,Storage,1,37.19,Samsung,12,80283
CHUWIGEMIBOOKP-QC-16.0-512.0,CHUWI GemiBook Plus (QC-16.0-512.0),HNG-CHUWIGEMIBOOKP-G1,Display Hinge Assembly,Chassis/Hinge,2,6.76,LG Display,12,31547
CHUWIGEMIBOOKP-QC-16.0-512.0,CHUWI GemiBook Plus (QC-16.0-512.0),KB-CHUWIGEMIBOOKP-G1,Backlit Keyboard - US Layout,Keyboard,1,18.93,LG Display,12,58313
CHUWILAPBOOKPR-CEL-8.0-256.0,CHUWI LapBook Pro (CEL-8.0-256.0),MB-CHUWILAPBOOKPR-G1,Motherboard Rev1,Motherboard,1,158.97,Chicony,12,20787
CHUWILAPBOOKPR-CEL-8.0-256.0,CHUWI LapBook Pro (CEL-8.0-256.0),DISP-CHUWILAPBOOKPR-G1,14in FHD IPS Display Panel,Display,1,70.74,LG Display,12,46576
CHUWILAPBOOKPR-CEL-8.0-256.0,CHUWI LapBook Pro (CEL-8.0-256.0),BATT-CHUWILAPBOOKPR-G1,3-Cell Battery,Battery,1,28.48,BOE,12,24583
CHUWILAPBOOKPR-CEL-8.0-256.0,CHUWI LapBook Pro (CEL-8.0-256.0),SSD-CHUWILAPBOOKPR-G1,SSD/eMMC Storage,Storage,1,34.45,Samsung SDI,12,81762
CHUWILAPBOOKPR-CEL-8.0-256.0,CHUWI LapBook Pro (CEL-8.0-256.0),HNG-CHUWILAPBOOKPR-G1,Display Hinge Assembly,Chassis/Hinge,2,7.06,Quanta,12,31476
CHUWILAPBOOKPR-CEL-8.0-256.0,CHUWI LapBook Pro (CEL-8.0-256.0),KB-CHUWILAPBOOKPR-G1,Backlit Keyboard - US Layout,Keyboard,1,18.97,Samsung SDI,12,59537
CHUWILAPBOOKPR2-CEL-8.0-256.0,CHUWI Lapbook Pro (CEL-8.0-256.0),MB-CHUWILAPBOOKPR2-G1,Motherboard Rev1,Motherboard,1,149.5,Quanta,12,19393
CHUWILAPBOOKPR2-CEL-8.0-256.0,CHUWI Lapbook Pro (CEL-8.0-256.0),DISP-CHUWILAPBOOKPR2-G1,14in FHD IPS Display Panel,Display,1,68.73,Compal,12,45647
CHUWILAPBOOKPR2-CEL-8.0-256.0,CHUWI Lapbook Pro (CEL-8.0-256.0),BATT-CHUWILAPBOOKPR2-G1,3-Cell Battery,Battery,1,28.8,AUO,12,24973
CHUWILAPBOOKPR2-CEL-8.0-256.0,CHUWI Lapbook Pro (CEL-8.0-256.0),SSD-CHUWILAPBOOKPR2-G1,SSD/eMMC Storage,Storage,1,34.67,Samsung SDI,12,81560
CHUWILAPBOOKPR2-CEL-8.0-256.0,CHUWI Lapbook Pro (CEL-8.0-256.0),HNG-CHUWILAPBOOKPR2-G1,Display Hinge Assembly,Chassis/Hinge,2,6.53,LG Display,12,31782
CHUWILAPBOOKPR2-CEL-8.0-256.0,CHUWI Lapbook Pro (CEL-8.0-256.0),KB-CHUWILAPBOOKPR2-G1,Backlit Keyboard - US Layout,Keyboard,1,19.28,Quanta,12,59039
DELL16PLUS7630-I7-32.0-1000.0,Dell 16 Plus 7630 (I7-32.0-1000.0),MB-DELL16PLUS7630-G1,Motherboard Rev1,Motherboard,1,158.49,LG Chem,12,19531
DELL16PLUS7630-I7-32.0-1000.0,Dell 16 Plus 7630 (I7-32.0-1000.0),DISP-DELL16PLUS7630-G1,14in FHD IPS Display Panel,Display,1,72.96,Samsung SDI,12,47172
DELL16PLUS7630-I7-32.0-1000.0,Dell 16 Plus 7630 (I7-32.0-1000.0),BATT-DELL16PLUS7630-G1,3-Cell Battery,Battery,1,30.84,SK Hynix,12,24163
DELL16PLUS7630-I7-32.0-1000.0,Dell 16 Plus 7630 (I7-32.0-1000.0),SSD-DELL16PLUS7630-G1,SSD/eMMC Storage,Storage,1,38.84,LG Display,12,81902
DELL16PLUS7630-I7-32.0-1000.0,Dell 16 Plus 7630 (I7-32.0-1000.0),HNG-DELL16PLUS7630-G1,Display Hinge Assembly,Chassis/Hinge,2,6.65,Chicony,12,30629
DELL16PLUS7630-I7-32.0-1000.0,Dell 16 Plus 7630 (I7-32.0-1000.0),KB-DELL16PLUS7630-G1,Backlit Keyboard - US Layout,Keyboard,1,19.04,Samsung,12,59798
DELL5414-I5-8.0-8.0,Dell 5414 (I5-8.0-8.0),MB-DELL5414-G1,Motherboard Rev1,Motherboard,1,157.39,LG Display,12,18350
DELL5414-I5-8.0-8.0,Dell 5414 (I5-8.0-8.0),DISP-DELL5414-G1,14in FHD IPS Display Panel,Display,1,72.76,LG Display,12,47181
DELL5414-I5-8.0-8.0,Dell 5414 (I5-8.0-8.0),BATT-DELL5414-G1,3-Cell Battery,Battery,1,30.17,LG Chem,12,24851
DELL5414-I5-8.0-8.0,Dell 5414 (I5-8.0-8.0),SSD-DELL5414-G1,SSD/eMMC Storage,Storage,1,38.59,Samsung SDI,12,80338
DELL5414-I5-8.0-8.0,Dell 5414 (I5-8.0-8.0),HNG-DELL5414-G1,Display Hinge Assembly,Chassis/Hinge,2,6.59,SK Hynix,12,30866
DELL5414-I5-8.0-8.0,Dell 5414 (I5-8.0-8.0),KB-DELL5414-G1,Backlit Keyboard - US Layout,Keyboard,1,19.48,Samsung SDI,12,59546
DELLE5580-I7-16.0-512.0,Dell E5580 (I7-16.0-512.0),MB-DELLE5580-G1,Motherboard Rev1,Motherboard,1,161.66,Samsung,12,20920
DELLE5580-I7-16.0-512.0,Dell E5580 (I7-16.0-512.0),DISP-DELLE5580-G1,14in FHD IPS Display Panel,Display,1,70.03,Quanta,12,47661
DELLE5580-I7-16.0-512.0,Dell E5580 (I7-16.0-512.0),BATT-DELLE5580-G1,3-Cell Battery,Battery,1,28.44,Samsung SDI,12,24424
DELLE5580-I7-16.0-512.0,Dell E5580 (I7-16.0-512.0),SSD-DELLE5580-G1,SSD/eMMC Storage,Storage,1,32.04,Samsung,12,80131
DELLE5580-I7-16.0-512.0,Dell E5580 (I7-16.0-512.0),HNG-DELLE5580-G1,Display Hinge Assembly,Chassis/Hinge,2,6.64,SK Hynix,12,31134
DELLE5580-I7-16.0-512.0,Dell E5580 (I7-16.0-512.0),KB-DELLE5580-G1,Backlit Keyboard - US Layout,Keyboard,1,19.04,Samsung,12,58014
DELLINSPIRON14-R5-16.0-UNK,Dell Inspiron 14 5425 (R5-16.0-UNK),MB-DELLINSPIRON14-G1,Motherboard Rev1,Motherboard,1,144.36,Quanta,12,18241
DELLINSPIRON14-R5-16.0-UNK,Dell Inspiron 14 5425 (R5-16.0-UNK),DISP-DELLINSPIRON14-G1,14in FHD IPS Display Panel,Display,1,69.49,Wistron,12,46353
DELLINSPIRON14-R5-16.0-UNK,Dell Inspiron 14 5425 (R5-16.0-UNK),BATT-DELLINSPIRON14-G1,3-Cell Battery,Battery,1,27.11,Samsung,12,24070
DELLINSPIRON14-R5-16.0-UNK,Dell Inspiron 14 5425 (R5-16.0-UNK),SSD-DELLINSPIRON14-G1,SSD/eMMC Storage,Storage,1,42.18,Samsung,12,81104
DELLINSPIRON14-R5-16.0-UNK,Dell Inspiron 14 5425 (R5-16.0-UNK),HNG-DELLINSPIRON14-G1,Display Hinge Assembly,Chassis/Hinge,2,6.49,SK Hynix,12,31180
DELLINSPIRON14-R5-16.0-UNK,Dell Inspiron 14 5425 (R5-16.0-UNK),KB-DELLINSPIRON14-G1,Backlit Keyboard - US Layout,Keyboard,1,19.18,Chicony,12,58968
DELLINSPIRON15-R5-16.0-512.0,Dell Inspiron 15 3535 (R5-16.0-512.0),MB-DELLINSPIRON15-G1,Motherboard Rev1,Motherboard,1,163.7,Samsung,12,18386
DELLINSPIRON15-R5-16.0-512.0,Dell Inspiron 15 3535 (R5-16.0-512.0),DISP-DELLINSPIRON15-G1,14in FHD IPS Display Panel,Display,1,68.63,Compal,12,46451
DELLINSPIRON15-R5-16.0-512.0,Dell Inspiron 15 3535 (R5-16.0-512.0),BATT-DELLINSPIRON15-G1,3-Cell Battery,Battery,1,28.66,BOE,12,24993
DELLINSPIRON15-R5-16.0-512.0,Dell Inspiron 15 3535 (R5-16.0-512.0),SSD-DELLINSPIRON15-G1,SSD/eMMC Storage,Storage,1,30.8,Quanta,12,81323
DELLINSPIRON15-R5-16.0-512.0,Dell Inspiron 15 3535 (R5-16.0-512.0),HNG-DELLINSPIRON15-G1,Display Hinge Assembly,Chassis/Hinge,2,6.47,Compal,12,31491
DELLINSPIRON15-R5-16.0-512.0,Dell Inspiron 15 3535 (R5-16.0-512.0),KB-DELLINSPIRON15-G1,Backlit Keyboard - US Layout,Keyboard,1,19.1,LG Display,12,58509
DELLLATITUDE31-CEL-4.0-128.0,Dell Latitude 3189 (CEL-4.0-128.0),MB-DELLLATITUDE31-G1,Motherboard Rev1,Motherboard,1,147.53,Samsung SDI,12,19837
DELLLATITUDE31-CEL-4.0-128.0,Dell Latitude 3189 (CEL-4.0-128.0),DISP-DELLLATITUDE31-G1,14in FHD IPS Display Panel,Display,1,68.91,LG Chem,12,46140
DELLLATITUDE31-CEL-4.0-128.0,Dell Latitude 3189 (CEL-4.0-128.0),BATT-DELLLATITUDE31-G1,3-Cell Battery,Battery,1,28.84,LG Display,12,24407
DELLLATITUDE31-CEL-4.0-128.0,Dell Latitude 3189 (CEL-4.0-128.0),SSD-DELLLATITUDE31-G1,SSD/eMMC Storage,Storage,1,44.75,Samsung SDI,12,80200
DELLLATITUDE31-CEL-4.0-128.0,Dell Latitude 3189 (CEL-4.0-128.0),HNG-DELLLATITUDE31-G1,Display Hinge Assembly,Chassis/Hinge,2,6.44,Samsung SDI,12,31712
DELLLATITUDE31-CEL-4.0-128.0,Dell Latitude 3189 (CEL-4.0-128.0),KB-DELLLATITUDE31-G1,Backlit Keyboard - US Layout,Keyboard,1,18.91,LG Display,12,59897
DELLLATITUDE52-I5-8.0-128.0,Dell Latitude 5289 (I5-8.0-128.0),MB-DELLLATITUDE52-G1,Motherboard Rev1,Motherboard,1,162.28,Samsung,12,18681
DELLLATITUDE52-I5-8.0-128.0,Dell Latitude 5289 (I5-8.0-128.0),DISP-DELLLATITUDE52-G1,14in FHD IPS Display Panel,Display,1,70.64,BOE,12,45875
DELLLATITUDE52-I5-8.0-128.0,Dell Latitude 5289 (I5-8.0-128.0),BATT-DELLLATITUDE52-G1,3-Cell Battery,Battery,1,30.6,Wistron,12,23837
DELLLATITUDE52-I5-8.0-128.0,Dell Latitude 5289 (I5-8.0-128.0),SSD-DELLLATITUDE52-G1,SSD/eMMC Storage,Storage,1,36.81,Compal,12,80543
DELLLATITUDE52-I5-8.0-128.0,Dell Latitude 5289 (I5-8.0-128.0),HNG-DELLLATITUDE52-G1,Display Hinge Assembly,Chassis/Hinge,2,7.05,Chicony,12,30931
DELLLATITUDE52-I5-8.0-128.0,Dell Latitude 5289 (I5-8.0-128.0),KB-DELLLATITUDE52-G1,Backlit Keyboard - US Layout,Keyboard,1,19.07,AUO,12,59960
DELLLATITUDE55-I5-16.0-512.0,Dell Latitude 5580 (I5-16.0-512.0),MB-DELLLATITUDE55-G1,Motherboard Rev1,Motherboard,1,161.68,Chicony,12,20276
DELLLATITUDE55-I5-16.0-512.0,Dell Latitude 5580 (I5-16.0-512.0),DISP-DELLLATITUDE55-G1,14in FHD IPS Display Panel,Display,1,72.3,BOE,12,45634
DELLLATITUDE55-I5-16.0-512.0,Dell Latitude 5580 (I5-16.0-512.0),BATT-DELLLATITUDE55-G1,3-Cell Battery,Battery,1,27.64,Samsung,12,23619
DELLLATITUDE55-I5-16.0-512.0,Dell Latitude 5580 (I5-16.0-512.0),SSD-DELLLATITUDE55-G1,SSD/eMMC Storage,Storage,1,40.51,Samsung SDI,12,80124
DELLLATITUDE55-I5-16.0-512.0,Dell Latitude 5580 (I5-16.0-512.0),HNG-DELLLATITUDE55-G1,Display Hinge Assembly,Chassis/Hinge,2,6.92,Wistron,12,30102
DELLLATITUDE55-I5-16.0-512.0,Dell Latitude 5580 (I5-16.0-512.0),KB-DELLLATITUDE55-G1,Backlit Keyboard - US Layout,Keyboard,1,19.25,Samsung SDI,12,59882
DELLLATITUDE74-I7-UNK-2000.0,Dell Latitude 7400 (I7-UNK-2000.0),MB-DELLLATITUDE74-G1,Motherboard Rev1,Motherboard,1,164.88,LG Chem,12,18232
DELLLATITUDE74-I7-UNK-2000.0,Dell Latitude 7400 (I7-UNK-2000.0),DISP-DELLLATITUDE74-G1,14in FHD IPS Display Panel,Display,1,74.25,LG Display,12,45761
DELLLATITUDE74-I7-UNK-2000.0,Dell Latitude 7400 (I7-UNK-2000.0),BATT-DELLLATITUDE74-G1,3-Cell Battery,Battery,1,27.1,LG Display,12,24882
DELLLATITUDE74-I7-UNK-2000.0,Dell Latitude 7400 (I7-UNK-2000.0),SSD-DELLLATITUDE74-G1,SSD/eMMC Storage,Storage,1,45.74,Compal,12,80245
DELLLATITUDE74-I7-UNK-2000.0,Dell Latitude 7400 (I7-UNK-2000.0),HNG-DELLLATITUDE74-G1,Display Hinge Assembly,Chassis/Hinge,2,7.06,SK Hynix,12,30504
DELLLATITUDE74-I7-UNK-2000.0,Dell Latitude 7400 (I7-UNK-2000.0),KB-DELLLATITUDE74-G1,Backlit Keyboard - US Layout,Keyboard,1,19.25,Wistron,12,59268
DELLLATITUDE742-I7-16.0-512.0,Dell Latitude 7480 (I7-16.0-512.0),MB-DELLLATITUDE742-G1,Motherboard Rev1,Motherboard,1,144.65,Quanta,12,20390
DELLLATITUDE742-I7-16.0-512.0,Dell Latitude 7480 (I7-16.0-512.0),DISP-DELLLATITUDE742-G1,14in FHD IPS Display Panel,Display,1,71.67,Darfon,12,46068
DELLLATITUDE742-I7-16.0-512.0,Dell Latitude 7480 (I7-16.0-512.0),BATT-DELLLATITUDE742-G1,3-Cell Battery,Battery,1,27.7,AUO,12,24143
DELLLATITUDE742-I7-16.0-512.0,Dell Latitude 7480 (I7-16.0-512.0),SSD-DELLLATITUDE742-G1,SSD/eMMC Storage,Storage,1,34.22,Compal,12,80268
DELLLATITUDE742-I7-16.0-512.0,Dell Latitude 7480 (I7-16.0-512.0),HNG-DELLLATITUDE742-G1,Display Hinge Assembly,Chassis/Hinge,2,6.87,Foxconn,12,30936
DELLLATITUDE742-I7-16.0-512.0,Dell Latitude 7480 (I7-16.0-512.0),KB-DELLLATITUDE742-G1,Backlit Keyboard - US Layout,Keyboard,1,19.09,Chicony,12,59916
DELLLATITUDE743-I7-UNK-2000.0,Dell Latitude 7490 (I7-UNK-2000.0),MB-DELLLATITUDE743-G1,Motherboard Rev1,Motherboard,1,144.4,BOE,12,20544
DELLLATITUDE743-I7-UNK-2000.0,Dell Latitude 7490 (I7-UNK-2000.0),DISP-DELLLATITUDE743-G1,14in FHD IPS Display Panel,Display,1,74.49,LG Display,12,45300
DELLLATITUDE743-I7-UNK-2000.0,Dell Latitude 7490 (I7-UNK-2000.0),BATT-DELLLATITUDE743-G1,3-Cell Battery,Battery,1,29.17,Samsung SDI,12,24043
DELLLATITUDE743-I7-UNK-2000.0,Dell Latitude 7490 (I7-UNK-2000.0),SSD-DELLLATITUDE743-G1,SSD/eMMC Storage,Storage,1,32.25,Darfon,12,81804
DELLLATITUDE743-I7-UNK-2000.0,Dell Latitude 7490 (I7-UNK-2000.0),HNG-DELLLATITUDE743-G1,Display Hinge Assembly,Chassis/Hinge,2,6.45,Samsung,12,30756
DELLLATITUDE743-I7-UNK-2000.0,Dell Latitude 7490 (I7-UNK-2000.0),KB-DELLLATITUDE743-G1,Backlit Keyboard - US Layout,Keyboard,1,19.07,BOE,12,59707
DELLLATITUDEE5-I5-8.0-UNK,Dell Latitude E5440 (I5-8.0-UNK),MB-DELLLATITUDEE5-G1,Motherboard Rev1,Motherboard,1,156.76,Foxconn,12,20505
