claim_id,parent_sku,component_sku,component_type,failure_date,failure_reason,within_warranty
WC-88120,CHUWIGEMIBOOKP-QC-16.0-512.0,SSD-CHUWIGEMIBOOKP-G1,Storage,2026-01-12,Drive not detected,True
WC-88121,CHUWIGEMIBOOKP-QC-16.0-512.0,SSD-CHUWIGEMIBOOKP-G1,Storage,2026-04-09,SMART errors / failing drive,True
WC-88122,CHUWILAPBOOKPR-CEL-8.0-256.0,HNG-CHUWILAPBOOKPR-G1,Chassis/Hinge,2026-02-02,Loose hinge / screen wobble,False
WC-88123,CHUWILAPBOOKPR-CEL-8.0-256.0,HNG-CHUWILAPBOOKPR-G1,Chassis/Hinge,2026-01-26,Hinge cracked,True
WC-88124,CHUWILAPBOOKPR-CEL-8.0-256.0,BATT-CHUWILAPBOOKPR-G1,Battery,2026-01-04,Won't hold charge,True
WC-88125,CHUWILAPBOOKPR-CEL-8.0-256.0,HNG-CHUWILAPBOOKPR-G1,Chassis/Hinge,2026-01-20,Hinge cracked,True
WC-88126,CHUWILAPBOOKPR-CEL-8.0-256.0,MB-CHUWILAPBOOKPR-G1,Motherboard,2026-03-28,Board fails POST,True
WC-88127,CHUWILAPBOOKPR-CEL-8.0-256.0,BATT-CHUWILAPBOOKPR-G1,Battery,2026-06-22,Won't hold charge,True
WC-88128,CHUWILAPBOOKPR-CEL-8.0-256.0,MB-CHUWILAPBOOKPR-G1,Motherboard,2026-06-10,Board fails POST,True
WC-88129,CHUWILAPBOOKPR-CEL-8.0-256.0,SSD-CHUWILAPBOOKPR-G1,Storage,2026-06-08,SMART errors / failing drive,True
WC-88130,CHUWILAPBOOKPR-CEL-8.0-256.0,MB-CHUWILAPBOOKPR-G1,Motherboard,2026-02-28,No power / dead board,True
WC-88131,CHUWILAPBOOKPR-CEL-8.0-256.0,BATT-CHUWILAPBOOKPR-G1,Battery,2026-07-14,Won't hold charge,True
WC-88132,CHUWILAPBOOKPR2-CEL-8.0-256.0,MB-CHUWILAPBOOKPR2-G1,Motherboard,2026-04-24,Charging circuit failure,True
WC-88133,CHUWILAPBOOKPR2-CEL-8.0-256.0,HNG-CHUWILAPBOOKPR2-G1,Chassis/Hinge,2026-01-12,Hinge cracked,True
WC-88134,CHUWILAPBOOKPR2-CEL-8.0-256.0,MB-CHUWILAPBOOKPR2-G1,Motherboard,2026-04-02,Random shutdowns,True
WC-88135,CHUWILAPBOOKPR2-CEL-8.0-256.0,HNG-CHUWILAPBOOKPR2-G1,Chassis/Hinge,2026-05-16,Hinge cracked,True
WC-88136,CHUWILAPBOOKPR2-CEL-8.0-256.0,DISP-CHUWILAPBOOKPR2-G1,Display,2026-02-13,Dead pixels,True
WC-88137,CHUWILAPBOOKPR2-CEL-8.0-256.0,KB-CHUWILAPBOOKPR2-G1,Keyboard,2026-06-08,Sticky keys after spill,True
WC-88138,CHUWILAPBOOKPR2-CEL-8.0-256.0,BATT-CHUWILAPBOOKPR2-G1,Battery,2026-02-06,Swelling,True
WC-88139,CHUWILAPBOOKPR2-CEL-8.0-256.0,BATT-CHUWILAPBOOKPR2-G1,Battery,2026-04-28,Battery not detected,True
WC-88140,CHUWILAPBOOKPR2-CEL-8.0-256.0,HNG-CHUWILAPBOOKPR2-G1,Chassis/Hinge,2026-03-15,Loose hinge / screen wobble,True
WC-88141,CHUWILAPBOOKPR2-CEL-8.0-256.0,HNG-CHUWILAPBOOKPR2-G1,Chassis/Hinge,2026-04-24,Hinge cracked,False
WC-88142,DELL16PLUS7630-I7-32.0-1000.0,MB-DELL16PLUS7630-G1,Motherboard,2026-06-13,Board fails POST,True
WC-88143,DELL16PLUS7630-I7-32.0-1000.0,MB-DELL16PLUS7630-G1,Motherboard,2026-03-19,Charging circuit failure,False
WC-88144,DELL16PLUS7630-I7-32.0-1000.0,BATT-DELL16PLUS7630-G1,Battery,2026-01-28,Swelling,True
WC-88145,DELL16PLUS7630-I7-32.0-1000.0,SSD-DELL16PLUS7630-G1,Storage,2026-05-28,Drive not detected,False
WC-88146,DELL16PLUS7630-I7-32.0-1000.0,BATT-DELL16PLUS7630-G1,Battery,2026-01-06,Won't hold charge,True
WC-88147,DELL16PLUS7630-I7-32.0-1000.0,SSD-DELL16PLUS7630-G1,Storage,2026-05-25,SMART errors / failing drive,False
WC-88148,DELL16PLUS7630-I7-32.0-1000.0,DISP-DELL16PLUS7630-G1,Display,2026-03-15,Dead pixels,True
WC-88149,DELL16PLUS7630-I7-32.0-1000.0,KB-DELL16PLUS7630-G1,Keyboard,2026-02-26,Sticky keys after spill,True
WC-88150,DELL16PLUS7630-I7-32.0-1000.0,SSD-DELL16PLUS7630-G1,Storage,2026-06-23,SMART errors / failing drive,True
WC-88151,DELL16PLUS7630-I7-32.0-1000.0,HNG-DELL16PLUS7630-G1,Chassis/Hinge,2026-03-21,Hinge cracked,True
WC-88152,DELL5414-I5-8.0-8.0,HNG-DELL5414-G1,Chassis/Hinge,2026-07-07,Hinge assembly snapped,True
WC-88153,DELL5414-I5-8.0-8.0,HNG-DELL5414-G1,Chassis/Hinge,2026-03-25,Loose hinge / screen wobble,True
WC-88154,DELL5414-I5-8.0-8.0,MB-DELL5414-G1,Motherboard,2026-02-03,Random shutdowns,True
WC-88155,DELL5414-I5-8.0-8.0,KB-DELL5414-G1,Keyboard,2026-02-12,Backlight failure,False
WC-88156,DELL5414-I5-8.0-8.0,SSD-DELL5414-G1,Storage,2026-07-26,Drive not detected,True
WC-88157,DELL5414-I5-8.0-8.0,DISP-DELL5414-G1,Display,2026-07-25,Dead pixels,True
WC-88158,DELL5414-I5-8.0-8.0,DISP-DELL5414-G1,Display,2026-02-06,Dead pixels,True
WC-88159,DELL5414-I5-8.0-8.0,SSD-DELL5414-G1,Storage,2026-07-25,Drive not detected,True
WC-88160,DELL5414-I5-8.0-8.0,BATT-DELL5414-G1,Battery,2026-01-04,Battery not detected,True
WC-88161,DELL5414-I5-8.0-8.0,KB-DELL5414-G1,Keyboard,2026-04-05,Sticky keys after spill,True
WC-88162,DELLE5580-I7-16.0-512.0,MB-DELLE5580-G1,Motherboard,2026-05-30,Board fails POST,True
WC-88163,DELLE5580-I7-16.0-512.0,DISP-DELLE5580-G1,Display,2026-01-28,Dead pixels,True
WC-88164,DELLE5580-I7-16.0-512.0,BATT-DELLE5580-G1,Battery,2026-03-25,Won't hold charge,True
WC-88165,DELLE5580-I7-16.0-512.0,BATT-DELLE5580-G1,Battery,2026-06-12,Battery not detected,False
WC-88166,DELLE5580-I7-16.0-512.0,SSD-DELLE5580-G1,Storage,2026-06-16,Drive not detected,True
WC-88167,DELLE5580-I7-16.0-512.0,SSD-DELLE5580-G1,Storage,2026-01-10,Drive not detected,False
WC-88168,DELLE5580-I7-16.0-512.0,SSD-DELLE5580-G1,Storage,2026-01-25,SMART errors / failing drive,False
WC-88169,DELLE5580-I7-16.0-512.0,SSD-DELLE5580-G1,Storage,2026-04-10,Drive not detected,True
WC-88170,DELLE5580-I7-16.0-512.0,HNG-DELLE5580-G1,Chassis/Hinge,2026-04-18,Loose hinge / screen wobble,True
WC-88171,DELLE5580-I7-16.0-512.0,MB-DELLE5580-G1,Motherboard,2026-04-17,No power / dead board,True
WC-88172,DELLINSPIRON14-R5-16.0-UNK,HNG-DELLINSPIRON14-G1,Chassis/Hinge,2026-03-13,Hinge assembly snapped,True
WC-88173,DELLINSPIRON14-R5-16.0-UNK,BATT-DELLINSPIRON14-G1,Battery,2026-04-24,Battery not detected,False
WC-88174,DELLINSPIRON14-R5-16.0-UNK,BATT-DELLINSPIRON14-G1,Battery,2026-01-26,Won't hold charge,True
WC-88175,DELLINSPIRON14-R5-16.0-UNK,MB-DELLINSPIRON14-G1,Motherboard,2026-01-16,Board fails POST,True
WC-88176,DELLINSPIRON14-R5-16.0-UNK,DISP-DELLINSPIRON14-G1,Display,2026-07-30,Backlight bleed,True
WC-88177,DELLINSPIRON14-R5-16.0-UNK,DISP-DELLINSPIRON14-G1,Display,2026-06-14,Dead pixels,True
WC-88178,DELLINSPIRON14-R5-16.0-UNK,HNG-DELLINSPIRON14-G1,Chassis/Hinge,2026-03-04,Hinge assembly snapped,True
WC-88179,DELLINSPIRON14-R5-16.0-UNK,KB-DELLINSPIRON14-G1,Keyboard,2026-01-18,Sticky keys after spill,True
WC-88180,DELLINSPIRON14-R5-16.0-UNK,MB-DELLINSPIRON14-G1,Motherboard,2026-07-28,Charging circuit failure,True
WC-88181,DELLINSPIRON14-R5-16.0-UNK,KB-DELLINSPIRON14-G1,Keyboard,2026-07-21,Sticky keys after spill,True
WC-88182,DELLINSPIRON15-R5-16.0-512.0,SSD-DELLINSPIRON15-G1,Storage,2026-02-03,Drive not detected,True
WC-88183,DELLINSPIRON15-R5-16.0-512.0,DISP-DELLINSPIRON15-G1,Display,2026-06-19,Dead pixels,True
WC-88184,DELLINSPIRON15-R5-16.0-512.0,BATT-DELLINSPIRON15-G1,Battery,2026-07-22,Swelling,True
WC-88185,DELLINSPIRON15-R5-16.0-512.0,MB-DELLINSPIRON15-G1,Motherboard,2026-02-14,Random shutdowns,True
WC-88186,DELLINSPIRON15-R5-16.0-512.0,KB-DELLINSPIRON15-G1,Keyboard,2026-05-15,Keys unresponsive,True
WC-88187,DELLINSPIRON15-R5-16.0-512.0,SSD-DELLINSPIRON15-G1,Storage,2026-04-25,Drive not detected,True
WC-88188,DELLINSPIRON15-R5-16.0-512.0,HNG-DELLINSPIRON15-G1,Chassis/Hinge,2026-04-26,Loose hinge / screen wobble,True
WC-88189,DELLINSPIRON15-R5-16.0-512.0,MB-DELLINSPIRON15-G1,Motherboard,2026-07-06,Random shutdowns,True
WC-88190,DELLINSPIRON15-R5-16.0-512.0,SSD-DELLINSPIRON15-G1,Storage,2026-01-16,Drive not detected,True
WC-88191,DELLINSPIRON15-R5-16.0-512.0,HNG-DELLINSPIRON15-G1,Chassis/Hinge,2026-06-25,Hinge assembly snapped,True
WC-88192,DELLLATITUDE31-CEL-4.0-128.0,KB-DELLLATITUDE31-G1,Keyboard,2026-01-19,Keys unresponsive,True
WC-88193,DELLLATITUDE31-CEL-4.0-128.0,BATT-DELLLATITUDE31-G1,Battery,2026-01-17,Swelling,True
WC-88194,DELLLATITUDE31-CEL-4.0-128.0,SSD-DELLLATITUDE31-G1,Storage,2026-05-21,Drive not detected,True
WC-88195,DELLLATITUDE31-CEL-4.0-128.0,SSD-DELLLATITUDE31-G1,Storage,2026-05-16,Drive not detected,True
WC-88196,DELLLATITUDE31-CEL-4.0-128.0,KB-DELLLATITUDE31-G1,Keyboard,2026-04-21,Keys unresponsive,True
WC-88197,DELLLATITUDE31-CEL-4.0-128.0,KB-DELLLATITUDE31-G1,Keyboard,2026-06-17,Sticky keys after spill,True
WC-88198,DELLLATITUDE31-CEL-4.0-128.0,BATT-DELLLATITUDE31-G1,Battery,2026-07-04,Swelling,True
WC-88199,DELLLATITUDE31-CEL-4.0-128.0,HNG-DELLLATITUDE31-G1,Chassis/Hinge,2026-04-16,Hinge cracked,True
WC-88200,DELLLATITUDE31-CEL-4.0-128.0,SSD-DELLLATITUDE31-G1,Storage,2026-04-17,SMART errors / failing drive,True
WC-88201,DELLLATITUDE31-CEL-4.0-128.0,HNG-DELLLATITUDE31-G1,Chassis/Hinge,2026-06-20,Hinge cracked,True
WC-88202,DELLLATITUDE52-I5-8.0-128.0,DISP-DELLLATITUDE52-G1,Display,2026-06-25,Backlight bleed,True
WC-88203,DELLLATITUDE52-I5-8.0-128.0,MB-DELLLATITUDE52-G1,Motherboard,2026-01-24,Board fails POST,True
WC-88204,DELLLATITUDE52-I5-8.0-128.0,DISP-DELLLATITUDE52-G1,Display,2026-07-27,Dead pixels,True
WC-88205,DELLLATITUDE52-I5-8.0-128.0,DISP-DELLLATITUDE52-G1,Display,2026-05-24,Backlight bleed,True
